Iteracja,Najlepsza wartosc,Srednia wartosc,Odchylenie standardowe
0,474.4142030235391,251.10146530616544,83.79155368976856
1,474.4142030235391,286.6047358242877,83.0220733525388
2,515.8030842258718,298.85544654246223,98.50763448382017
3,515.8030842258718,298.59006928892916,94.45531857499508
4,522.7375889694141,307.196241131749,103.37046208944405
5,522.7375889694141,381.4695311094539,85.78749810938655
6,522.7375889694141,407.6615800584765,79.82109142321937
7,522.7375889694141,417.8448546423773,97.21516089782946
8,522.7375889694141,409.2272663138286,90.21436608833108
9,522.7375889694141,395.51725371800137,115.44288363894724
10,528.8191393083912,376.61468651633,126.59374101614914
11,528.7817491690269,380.3739544490122,124.63661918820534
12,584.166982822494,423.8105979956403,114.6922539308199
13,584.166982822494,475.28551212881916,67.09940714919327
14,568.8843421846663,484.48067016852525,83.12580840318937
15,594.4192859123516,472.3045241621387,120.67467310857069
16,605.0402438977752,521.3110314410869,56.00711947858085
17,605.0402438977752,495.30841679177325,112.87533348046804
18,609.9057319874869,509.03829483441103,84.67939233858395
19,609.9057319874869,445.2817544346868,122.45461088965625
20,609.9057319874869,458.33910888965954,116.19016992687544
21,609.9057319874869,460.1121900822683,92.80409384087429
22,609.9057319874869,475.71924763454473,100.94317990240101
23,611.8930762895388,493.5529370513389,77.580705986113
24,624.9166887789767,491.07419160833285,103.54469522931275
25,624.9166887789767,562.9426279794735,62.92465699538195
26,624.9166887789767,555.923513012009,61.710054467575546
27,624.9166887789767,563.9744066159493,77.32673510976367
28,635.1523023616576,565.1560888811719,65.51763148661183
29,635.1523023616576,560.7918872004732,82.5975304326847
30,635.1523023616576,579.8926001520924,48.778856034116345
31,635.1523023616576,574.1696559496933,76.92119507965984
32,645.6066668234829,553.4397287789752,117.02986317393778
33,645.6066668234829,554.6943138493633,117.92780187173919
34,645.6066668234829,561.8129149840112,81.77323433737011
35,649.2697077523602,571.5798505206509,120.87272271233245
36,652.1294796287605,491.28703963491853,201.39055364711538
37,652.1294796287605,553.7228691598883,95.24306663636119
38,652.1294796287605,553.3712519429622,85.26822356130108
39,652.1294796287605,508.86009040152294,91.92356552727341
40,652.1294796287605,543.8825585598504,80.45114617554047
41,660.607339648906,564.0851483646915,68.77155134872763
42,708.099160102432,587.1921480477133,92.23473366627917
43,708.099160102432,591.174452615512,105.2581523604109
44,708.099160102432,603.4870170542451,87.38190051314125
45,708.099160102432,570.7984855275415,152.95000256314677
46,708.099160102432,569.2396795091379,136.80447010533402
47,709.8226445177197,568.9350203153488,140.64680454234488
48,722.855066446684,583.2555407684068,111.30071618363584
49,722.855066446684,588.8134925307891,100.39695537754827
50,722.855066446684,593.0061784943096,108.6474997981215
51,722.855066446684,535.7532104194291,134.71304089120903
52,722.855066446684,529.3825973898937,134.93742948534302
53,722.855066446684,518.8841679873781,125.14491354172628
54,722.855066446684,537.5001633451658,148.1230815236841
55,722.855066446684,613.9142941175762,141.62339541470945
56,722.855066446684,586.0848512781731,168.30027128372421
57,722.855066446684,602.8927974588696,136.13017899872938
58,722.855066446684,631.7146822996726,128.5682704716046
59,722.555233686472,682.6461436883806,59.536540262112
60,723.3168835908289,670.7342115855446,84.1018845495896
61,730.3613003892832,630.2147886597168,123.93251810181195
62,730.3613003892832,653.9595221407595,131.6561569771403
63,730.951387092764,668.1843887299938,110.20990168927219
64,742.583654863347,662.0002445390104,112.39585010832438
65,742.583654863347,704.2257879925123,51.79790444838977
66,745.0784804256418,688.2496502339237,98.32119272895777
67,756.4065062108393,637.7262050440585,141.94831528657141
68,756.4065062108393,687.3514849168736,97.825905243479
69,756.4065062108393,690.7618310705475,105.42056894944889
70,756.4065062108393,681.595473504108,101.0619245568275
71,756.4065062108393,697.8121231424085,81.41659065348021
72,756.4065062108393,681.3964301488176,117.90260098127925
73,756.4065062108393,686.0370193841463,107.41083905831083
74,784.0106441893486,688.386250654652,99.84593926739154
75,784.0106441893486,696.1979228726551,84.40558606996213
76,795.7339462926785,682.7152145094482,115.67137981892252
77,795.7339462926785,676.7728711092026,131.8895366186242
78,795.7339462926785,715.1549776096663,94.49209095447999
79,795.7339462926785,703.0716246380954,107.19342479142401
80,795.7339462926785,670.4406678427226,159.92420596750324
81,795.7339462926785,703.4186054240329,139.7795726575936
82,795.7339462926785,725.8080596560227,113.13786910784
83,798.2669376583738,700.0783609059164,155.60727944210512
84,798.3342055842886,710.0601024194434,133.54070515168291
85,798.3342055842886,687.9789901961931,136.89386962801643
86,813.9986501580745,672.1259020438036,156.6374620088491
87,813.9986501580745,735.9980822230443,122.70659860195282
88,814.4033463988491,776.8679743465381,76.1565993165567
89,827.5380547659882,783.8938712929413,64.40137672672378
90,827.5380547659882,762.0341780991278,113.38758035933452
91,827.5380547659882,778.4585530507012,100.35022151556794
92,827.5380547659882,750.6879758776997,135.47001534235204
93,827.5380547659882,745.1821530522628,115.87643065044861
94,827.5380547659882,783.7013294076396,62.458083942556186
95,827.5380547659882,770.1208084893101,102.65756968751789
96,827.5380547659882,810.7338345375441,27.216090404152954
97,827.5380547659882,780.7643784357781,95.01847588133784
98,827.5380547659882,752.529650995221,128.10355823870512
99,827.5380547659882,743.4916613977452,107.10033400899017
